Date Rptd,DR NO,DATE OCC,TIME OCC,AREA,AREA NAME,RD,Crm Cd,Crm Cd Desc,Status,Status Desc,LOCATION,Cross Street,Location 1
05/07/2014,140112111,05/04/2014,1740,01,Central,0185,480,BIKE - STOLEN,IC,Invest Cont, 1000         SANTEE                       ST,,"(34.0389, -118.255)"
05/09/2014,140311454,05/04/2014,1740,03,Southwest,0321,480,BIKE - STOLEN,IC,Invest Cont, 3500      S  LA CIENEGA                   BL,,"(34.0242, -118.3722)"
05/10/2014,141608673,05/04/2014,0800,16,Foothill,1687,480,BIKE - STOLEN,IC,Invest Cont,11100         STRATHERN                    ST,,"(34.2157, -118.3725)"
05/02/2014,140111797,05/02/2014,0830,01,Central,0142,480,BIKE - STOLEN,IC,Invest Cont,              4TH,   FLOWER,"(34.053, -118.2548)"
05/11/2014,141110208,05/02/2014,1200,11,Northeast,1173,480,BIKE - STOLEN,IC,Invest Cont, 2100         BAXTER                       ST,,"(34.0915, -118.255)"
05/08/2014,140210577,05/01/2014,2000,02,Rampart,0239,480,BIKE - STOLEN,IC,Invest Cont, 1000      W  TEMPLE                       ST,,"(34.0617, -118.2502)"
05/21/2014,140211660,05/01/2014,1500,02,Rampart,0249,480,BIKE - STOLEN,IC,Invest Cont, 1300      W  5TH                          ST,,"(34.0549, -118.2614)"
05/18/2014,141608961,05/01/2014,0800,16,Foothill,1606,480,BIKE - STOLEN,IC,Invest Cont,11500         BONHAM                       AV,,"(34.2797, -118.3768)"
04/30/2014,140111664,04/30/2014,2120,01,Central,0176,480,BIKE - STOLEN,IC,Invest Cont,  700      S  LOS ANGELES                  ST,,"(34.0433, -118.2504)"
05/01/2014,140111715,04/30/2014,0800,01,Central,0124,480,BIKE - STOLEN,IC,Invest Cont,  200      N  MAIN                         ST,,"(34.0532, -118.2425)"
04/30/2014,141608269,04/30/2014,1600,16,Foothill,1687,480,BIKE - STOLEN,IC,Invest Cont,              SUNLAND                      BL,   VINELAND                     AV,"(34.2192, -118.369)"
05/05/2014,141608476,04/30/2014,0600,16,Foothill,1605,480,BIKE - STOLEN,IC,Invest Cont,11700         PIERCE                       ST,,"(34.2854, -118.3884)"
04/30/2014,142009484,04/30/2014,0730,20,Olympic,2027,480,BIKE - STOLEN,IC,Invest Cont, 3300         WILSHIRE                     BL,,"(34.0618, -118.2941)"
04/29/2014,140111569,04/29/2014,1530,01,Central,0153,480,BIKE - STOLEN,IC,Invest Cont,  500      S  BROADWAY,,"(34.0481, -118.2507)"
04/30/2014,140210208,04/29/2014,0800,02,Rampart,0299,480,BIKE - STOLEN,IC,Invest Cont, 1400         VALENCIA                     ST,,"(34.0421, -118.2759)"
04/30/2014,140610769,04/29/2014,0730,06,Hollywood,0645,480,BIKE - STOLEN,IC,Invest Cont, 7000         HOLLYWOOD                    BL,,"(34.1016, -118.3417)"
04/30/2014,140610771,04/29/2014,2100,06,Hollywood,0647,480,BIKE - STOLEN,IC,Invest Cont, 1500         LABAIG                       AV,,"(34.098, -118.3206)"
04/29/2014,140708445,04/29/2014,0020,07,Wilshire,0706,480,BIKE - STOLEN,IC,Invest Cont,  500      N  SYCAMORE                     AV,,"(34.0803, -118.3428)"
04/30/2014,142009482,04/29/2014,1200,20,Olympic,2014,480,BIKE - STOLEN,IC,Invest Cont,  200      S  HOBART                       BL,,"(34.0712, -118.3055)"
04/28/2014,140111467,04/28/2014,0930,01,Central,0162,480,BIKE - STOLEN,IC,Invest Cont,  700      S  FIGUEROA                     ST,,"(34.0494, -118.2599)"
04/28/2014,140111473,04/28/2014,1000,01,Central,0182,480,BIKE - STOLEN,AA,Adult Arrest,  900      S  FLOWER                       ST,,"(34.0458, -118.2614)"
